Num_ID	Leaf	Num_ID.x	Directory	Camalexin_Plate	HPLC_Plate_Position	HPLC_Plate	HPLC_Row	HPLC_column	Plate_Position	Plate_Cam	Exp_Tray.x	Geno	Surface.x	Iso	Treatment	Flavo	P3min	Camalexin	Num_ID.y	Genotype	IsoSur	Isolate	Surface.y	Image	Exp_Tray.y	Image_Num	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw	LEFcm	LEScm	LESPropcm	LEFYlwcm	LEFGrncm	Cam_LF	Cam_LP	Flavo_LF	P3_LF	P3_LP
11	T1-Cyp79-D-01_04_20	77	CC_FEB142019_CAM1-1GE-3901.D	Cam_P01	P1-G-05	P1	G	5	P1-G-05	Cam_P01-G-5	T1	Cyp79	D	01_04_20	Treatment	120.49816	0	0	37	Cyp79	01_04_20-D	01_04_20	Down	T1_IMG_4138	T1	4138	2513.73508	1132.578067	90.1923998	0.691323155	-0.019660272	4541	248	37.96318558	5.427247769	28.94416884	4541	13213	0.343676682	1355	6922	8	2769	1.660625591	0.570718293	4.32E-05	0.869965211	0.170298015	0	0	72.5619072	0	0
12	T1-Cyp79-D-02_04_04	26	CC_FEB142019_CAM1-1CB-1101.D	Cam_P01	P1-C-02	P1	C	2	P1-C-02	Cam_P01-C-2	T1	Cyp79	D	02_04_04	Treatment	60.64387	0	0	39	Cyp79	02_04_04-D	02_04_04	Down	T1_IMG_4138	T1	4138	814.9312209	1142.566346	153.0781127	0.860790719	0.17747549	9247	356	55.41121204	13.52319047	30.51269033	9247	14982	0.617207315	1171	3468	389	5846	1.882955619	1.162173983	7.76E-05	0.435862374	0.147172676	0	0	32.20674421	0	0
13	T1-Cyp79-D-02_04_08	55	CC_FEB142019_CAM1-1EG-5301.D	Cam_P01	P1-E-07	P1	E	7	P1-E-07	Cam_P01-E-7	T1	Cyp79	D	02_04_08	Treatment	95.71739	0	0	36	Cyp79	02_04_08-D	02_04_08	Down	T1_IMG_4138	T1	4138	3304.405582	1120.051897	84.10633328	0.906266195	-0.088346888	2293	189	27.90885512	8.376166544	14.39775776	2293	10558	0.217181284	584	5953	0	635	1.326942026	0.288186973	2.73E-05	0.748180136	0.073397816	0	0	72.13381455	0	0
14	T1-Cyp79-D-Apple517	4	CC_FEB142019_CAM1-1AD-2501.D	Cam_P01	P1-A-04	P1	A	4	P1-A-04	Cam_P01-A-4	T1	Cyp79	D	Apple517	Treatment	68.51678	0	0	33	Cyp79	Apple517-D	Apple517	Down	T1_IMG_4138	T1	4138	1700.966524	1089.701674	107.7875831	0.938329704	0.134748096	3047	232	33.2736979	11.88766844	13.36269465	3047	12600	0.241825397	2903	6013	376	2566	1.58358302	0.382950592	3.04E-05	0.755721008	0.364852501	0	0	43.26693273	0	0
15	T1-Cyp79-D-Grape	33	CC_FEB142019_CAM1-1CI-6701.D	Cam_P01	P1-C-09	P1	C	9	P1-C-09	Cam_P01-C-9	T1	Cyp79	D	Grape	Treatment	68.59015	0	0	31	Cyp79	Grape-D	Grape	Down	T1_IMG_4138	T1	4138	4062.058485	1079.963843	132.4723863	0.855932094	0.600032233	6942	310	49.37029425	11.76485125	29.72461342	6942	11283	0.615261898	1333	1776	339	3512	1.41806089	0.872478835	7.73E-05	0.223209797	0.167533029	0	0	48.36897377	0	0
16	T1-Cyp79-U-01_04_20	88	CC_FEB142019_CAM1-1HD-3201.D	Cam_P01	P1-H-04	P1	H	4	P1-H-04	Cam_P01-H-4	T1	Cyp79	U	01_04_20	Treatment	116.40282	0	0	32	Cyp79	01_04_20-U	01_04_20	Up	T1_IMG_4138	T1	4138	2119.992095	1088.124962	92.90940486	0.868446154	0.187041948	3289	208	32.64404097	8.429509574	16.98337297	3289	10359	0.317501689	825	5714	18	1933	1.301931469	0.413365441	3.99E-05	0.718142331	0.103686983	0	0	89.40779358	0	0
17	T1-Cyp79-U-02_04_04	37	CC_FEB142019_CAM1-1DA-0401.D	Cam_P01	P1-D-01	P1	D	1	P1-D-01	Cam_P01-D-1	T1	Cyp79	U	02_04_04	Treatment	57.38029	15.43274	0	40	Cyp79	02_04_04-U	02_04_04	Up	T1_IMG_4138	T1	4138	379.1798818	1163.275663	151.3766681	0.912718574	0.067663883	7277	341	51.05739184	15.39050173	30.59617027	7277	11037	0.659327716	985	1884	460	5869	1.387143317	0.914582035	8.29E-05	0.236783366	0.123795974	0	0	41.36579783	11.12555553	0.045257302
18	T1-Cyp79-U-02_04_08	66	CC_FEB142019_CAM1-1FF-4601.D	Cam_P01	P1-F-06	P1	F	6	P1-F-06	Cam_P01-F-6	T1	Cyp79	U	02_04_08	Treatment	80.88586	0	0	34	Cyp79	02_04_08-U	02_04_08	Up	T1_IMG_4138	T1	4138	2904.315965	1098.749815	68.22790525	0.658464286	0.212376647	2706	178	29.33846449	3.799599863	23.4197797	2706	9950	0.271959799	6346	858	44	2407	1.250527861	0.340093306	3.42E-05	0.107834463	0.797572845	0	0	64.68137378	0	0
19	T1-Cyp79-U-Apple517	15	CC_FEB142019_CAM1-1BC-1801.D	Cam_P01	P1-B-03	P1	B	3	P1-B-03	Cam_P01-B-3	T1	Cyp79	U	Apple517	Treatment	71.76013	25.47722	0	38	Cyp79	Apple517-U	Apple517	Up	T1_IMG_4138	T1	4138	1272.013362	1132.650077	119.063149	0.870049873	-0.197523884	5164	279	41.8368082	11.31390839	19.903159	5164	11045	0.467541874	1683	3665	1240	3594	1.388148766	0.649017676	5.88E-05	0.460621569	0.211521446	0	0	51.69484117	18.3533787	0.091316201
20	T1-Cyp79-U-Grape	44	CC_FEB142019_CAM1-1DH-6001.D	Cam_P01	P1-D-08	P1	D	8	P1-D-08	Cam_P01-D-8	T1	Cyp79	U	Grape	Treatment	65.46544	0	0	35	Cyp79	Grape-U	Grape	Up	T1_IMG_4138	T1	4138	3665.582811	1121.607212	100.4121321	0.805535971	-0.059077798	4631	241	38.8118098	7.793909154	24.92091346	4631	10013	0.462498752	2442	2682	1	2134	1.258445776	0.5820296	5.81E-05	0.337076957	0.306913471	0	0	52.02086673	0	0
